preferred_candidate <- ...,age,gender,race,education_level,state,urban
Joe Biden,35,female,asian,High school graduate,Texas,0
Joe Biden,63,female,pacific islander,2-year,Georgia,1
Donald Trump,95,male,middle eastern,2-year,Texas,0
Donald Trump,58,female,south asian,No HS,Michigan,0
Joe Biden,79,female,chinese,High school graduate,Hawaii,0
Donald Trump,76,male,other,4-year,Massachusetts,1
Joe Biden,93,male,asian,No HS,Indiana,0
Donald Trump,53,female,chinese,Post-grad,Louisiana,0
Joe Biden,62,female,japanese,4-year,Colorado,1
Joe Biden,28,female,white,4-year,New Mexico,1
Donald Trump,32,female,south asian,2-year,California,1
Joe Biden,55,female,asian,No HS,Illinois,0
Joe Biden,81,female,asian,2-year,West Virginia,0
Joe Biden,21,female,japanese,No HS,Massachusetts,0
Joe Biden,21,female,white,4-year,Arizona,0
Joe Biden,24,male,pacific islander,High school graduate,Minnesota,1
Joe Biden,48,male,pacific islander,4-year,Indiana,0
Joe Biden,89,male,asian,High school graduate,Illinois,0
Donald Trump,50,female,japanese,Post-grad,Washington,0
Donald Trump,78,female,middle eastern,No HS,Idaho,1
Donald Trump,90,female,pacific islander,4-year,Illinois,1
Joe Biden,86,male,asian,2-year,Kentucky,1
Joe Biden,85,female,native american,Some college,Montana,0
Donald Trump,34,female,hispanic,2-year,Alabama,1
Joe Biden,71,male,middle eastern,No HS,Alaska,1
Donald Trump,35,female,south asian,Post-grad,New York,1
Joe Biden,87,female,middle eastern,4-year,Michigan,0
Joe Biden,47,male,black,Some college,Ohio,1
Donald Trump,75,male,asian,High school graduate,Delaware,1
Donald Trump,88,male,asian,High school graduate,Pennsylvania,1
Joe Biden,52,male,middle eastern,Some college,Oregon,0
Donald Trump,48,female,pacific islander,2-year,Missouri,1
Joe Biden,66,female,other,Some college,Illinois,1
Joe Biden,46,male,south asian,2-year,Wyoming,0
Donald Trump,43,female,native american,Post-grad,Oklahoma,1
Donald Trump,77,male,pacific islander,Post-grad,Idaho,1
Joe Biden,94,male,chinese,Post-grad,Idaho,1
Joe Biden,76,female,other,4-year,Connecticut,1
Joe Biden,68,female,south asian,4-year,Missouri,0
Joe Biden,87,female,asian,High school graduate,South Dakota,0
Joe Biden,66,male,native american,4-year,Kansas,0
Donald Trump,53,female,other,4-year,New Jersey,0
Joe Biden,90,male,native american,2-year,South Dakota,1
Joe Biden,92,female,asian,4-year,Massachusetts,0
Donald Trump,22,male,pacific islander,No HS,Maine,1
Donald Trump,89,female,south asian,Some college,Mississippi,1
Joe Biden,41,female,other,Some college,North Dakota,1
Donald Trump,19,female,asian,No HS,Kentucky,0
Donald Trump,99,female,native american,No HS,California,1
Donald Trump,83,male,black,4-year,Wisconsin,1
Donald Trump,26,female,pacific islander,2-year,Maryland,0
Joe Biden,24,male,south asian,2-year,Wyoming,1
Joe Biden,66,female,japanese,High school graduate,Tennessee,0
Joe Biden,86,male,asian,No HS,North Carolina,1
Donald Trump,74,male,native american,Some college,Kansas,0
Donald Trump,46,female,asian,Some college,Arizona,0
Joe Biden,80,male,chinese,2-year,Vermont,1
Joe Biden,20,male,south asian,No HS,North Dakota,1
Donald Trump,78,female,middle eastern,Post-grad,Nebraska,1
Joe Biden,28,female,asian,2-year,Iowa,1
Donald Trump,61,male,white,2-year,Wyoming,1
Donald Trump,33,male,native american,No HS,North Carolina,0
Donald Trump,26,male,other,2-year,Massachusetts,1
Donald Trump,96,female,japanese,Post-grad,Nebraska,1
Joe Biden,30,female,white,2-year,North Carolina,0
Donald Trump,60,male,native american,No HS,Iowa,1
Joe Biden,84,female,pacific islander,Some college,South Carolina,1
Donald Trump,67,male,white,4-year,New York,1
Joe Biden,99,male,black,4-year,Alabama,1
Donald Trump,39,male,white,4-year,Indiana,1
Joe Biden,89,female,japanese,Post-grad,Maine,0
Joe Biden,99,male,hispanic,2-year,Oklahoma,1
Donald Trump,52,male,japanese,No HS,Nevada,0
Donald Trump,66,male,pacific islander,No HS,Hawaii,0
Joe Biden,18,female,chinese,4-year,Wyoming,1
Joe Biden,82,male,south asian,Some college,West Virginia,0
Joe Biden,72,female,white,Some college,Massachusetts,1
Donald Trump,51,female,white,Some college,Michigan,1
Donald Trump,38,female,asian,Post-grad,West Virginia,0
Donald Trump,25,female,other,Some college,Virginia,0
Donald Trump,21,male,south asian,Post-grad,Virginia,1
Joe Biden,97,male,hispanic,No HS,Georgia,1
Joe Biden,61,female,asian,2-year,Arizona,0
Donald Trump,69,female,south asian,4-year,Iowa,0
Joe Biden,64,female,asian,No HS,Kentucky,0
Donald Trump,55,female,pacific islander,2-year,New York,0
Joe Biden,80,female,asian,No HS,Colorado,1
Donald Trump,21,female,japanese,4-year,Connecticut,0
Joe Biden,91,male,white,Post-grad,Missouri,1
Donald Trump,36,male,south asian,High school graduate,New Jersey,1
Donald Trump,49,female,middle eastern,Some college,Ohio,1
Donald Trump,34,female,native american,Post-grad,Louisiana,1
Joe Biden,87,male,other,Some college,Nevada,0
Donald Trump,53,female,middle eastern,4-year,Utah,1
Joe Biden,51,female,asian,High school graduate,Mississippi,1
Joe Biden,28,male,pacific islander,High school graduate,Hawaii,1
Donald Trump,91,female,chinese,Some college,Rhode Island,1
Donald Trump,22,female,native american,4-year,Ohio,1
Donald Trump,54,female,native american,2-year,Hawaii,1
Joe Biden,33,male,japanese,High school graduate,Nebraska,0
Donald Trump,80,male,japanese,4-year,Delaware,1
Joe Biden,24,female,native american,High school graduate,Alaska,0
Joe Biden,94,male,other,4-year,Washington,0
Joe Biden,29,female,other,Post-grad,Utah,1
Donald Trump,29,male,middle eastern,2-year,New Hampshire,1
Joe Biden,30,female,pacific islander,No HS,Pennsylvania,1
Joe Biden,61,male,pacific islander,Some college,Montana,1
Joe Biden,50,male,japanese,Post-grad,Oklahoma,0
Joe Biden,35,male,asian,Some college,New Jersey,1
Joe Biden,77,male,other,High school graduate,Pennsylvania,1
Donald Trump,71,male,white,4-year,Nebraska,1
Joe Biden,96,male,black,High school graduate,Iowa,0
Joe Biden,75,male,south asian,2-year,California,1
Joe Biden,30,female,black,Post-grad,Delaware,0
Joe Biden,53,female,native american,No HS,Colorado,1
Joe Biden,99,male,native american,High school graduate,Tennessee,1
Joe Biden,85,female,other,High school graduate,Ohio,1
Joe Biden,43,male,white,Post-grad,Indiana,0
Joe Biden,33,female,native american,High school graduate,Wisconsin,1
Joe Biden,46,male,japanese,Post-grad,Minnesota,1
Joe Biden,23,female,asian,2-year,Vermont,1
Joe Biden,76,female,asian,4-year,Pennsylvania,1
Donald Trump,70,male,black,No HS,Indiana,1
Donald Trump,40,female,pacific islander,No HS,Oklahoma,0
Donald Trump,93,male,black,4-year,Connecticut,0
Donald Trump,23,male,south asian,4-year,Georgia,1
Joe Biden,41,male,asian,High school graduate,South Carolina,1
Donald Trump,67,female,black,2-year,Iowa,1
Donald Trump,61,male,japanese,No HS,Oklahoma,0
Joe Biden,30,female,native american,2-year,Alabama,1
Donald Trump,69,male,middle eastern,High school graduate,Georgia,1
Joe Biden,36,female,white,4-year,North Carolina,0
Joe Biden,96,male,asian,Some college,Kentucky,1
Joe Biden,60,male,asian,High school graduate,Alabama,0
Joe Biden,49,female,other,Some college,North Dakota,0
Joe Biden,71,female,pacific islander,Some college,Massachusetts,0
Donald Trump,21,male,native american,Some college,Alaska,0
Joe Biden,30,male,black,4-year,New York,0
Donald Trump,55,female,black,4-year,South Carolina,0
Donald Trump,21,female,white,No HS,Kansas,0
Donald Trump,79,female,other,2-year,New Jersey,0
Donald Trump,53,female,chinese,Post-grad,Hawaii,1
Donald Trump,66,male,middle eastern,4-year,Virginia,0
Donald Trump,56,male,middle eastern,Post-grad,Minnesota,1
Joe Biden,62,male,pacific islander,4-year,North Carolina,0
Donald Trump,87,female,japanese,4-year,Nebraska,1
Donald Trump,96,female,white,Some college,South Dakota,1
Joe Biden,35,male,other,Post-grad,West Virginia,1
Donald Trump,20,male,native american,High school graduate,California,0
Donald Trump,64,male,south asian,4-year,New Mexico,0
Joe Biden,62,female,native american,High school graduate,Kentucky,1
Donald Trump,99,male,other,4-year,New Mexico,0
Joe Biden,76,male,south asian,4-year,Hawaii,0
Donald Trump,85,female,other,No HS,Virginia,1
Donald Trump,45,male,chinese,High school graduate,Minnesota,0
Joe Biden,46,female,middle eastern,Post-grad,Vermont,1
Joe Biden,65,female,hispanic,Some college,Alaska,0
Joe Biden,36,female,south asian,4-year,North Dakota,1
Joe Biden,33,female,black,No HS,Hawaii,1
Joe Biden,90,male,native american,No HS,Oklahoma,0
Donald Trump,71,male,hispanic,4-year,Colorado,0
Joe Biden,89,female,asian,4-year,South Carolina,1
Joe Biden,36,male,native american,High school graduate,Oklahoma,0
Donald Trump,77,female,hispanic,2-year,Alabama,0
Donald Trump,26,male,black,No HS,Maryland,0
Joe Biden,94,male,pacific islander,Some college,Washington,0
Joe Biden,97,female,white,2-year,Georgia,0
Joe Biden,95,female,other,4-year,Mississippi,0
Donald Trump,33,female,south asian,4-year,Idaho,0
Donald Trump,35,male,white,Some college,Alaska,0
Joe Biden,27,female,pacific islander,2-year,Arizona,0
Donald Trump,29,female,asian,Some college,Colorado,1
Donald Trump,41,male,asian,High school graduate,Utah,1
Joe Biden,43,male,japanese,Some college,Wyoming,1
Donald Trump,79,male,japanese,No HS,South Dakota,0
Donald Trump,90,male,middle eastern,No HS,Arizona,0
Donald Trump,19,male,south asian,4-year,Mississippi,1
Joe Biden,83,male,black,4-year,Connecticut,1
Donald Trump,78,female,asian,No HS,Oregon,1
Joe Biden,85,male,white,4-year,Iowa,0
Joe Biden,85,male,hispanic,Post-grad,Oregon,0
Donald Trump,46,male,japanese,2-year,Alabama,0
Donald Trump,48,male,pacific islander,Some college,Vermont,0
Joe Biden,79,male,south asian,No HS,Maine,1
Joe Biden,25,female,south asian,Some college,Connecticut,1
Joe Biden,20,female,other,Some college,Idaho,1
Joe Biden,26,female,asian,Post-grad,Montana,0
Donald Trump,82,female,japanese,Post-grad,Arkansas,0
Donald Trump,90,female,south asian,2-year,Vermont,1
Donald Trump,53,female,middle eastern,2-year,Pennsylvania,0
Joe Biden,81,male,chinese,Post-grad,Arizona,0
Donald Trump,41,female,black,Some college,Washington,1
Joe Biden,23,female,hispanic,Some college,Illinois,0
Donald Trump,34,female,black,High school graduate,New York,1
Donald Trump,92,male,white,High school graduate,Maryland,1
Donald Trump,73,male,native american,High school graduate,Alabama,1
Donald Trump,74,male,pacific islander,No HS,Rhode Island,1
Donald Trump,29,male,hispanic,2-year,Maine,1
Donald Trump,38,female,chinese,2-year,Alabama,0
Joe Biden,35,female,other,Some college,Nebraska,1
Joe Biden,55,male,asian,Post-grad,New Hampshire,0
Joe Biden,51,male,white,4-year,Maine,0
Joe Biden,56,female,asian,Some college,Virginia,0
Donald Trump,19,female,asian,High school graduate,New Hampshire,0
Donald Trump,61,female,asian,High school graduate,Maryland,0
Joe Biden,27,male,hispanic,Some college,Ohio,0
Donald Trump,27,male,pacific islander,No HS,Montana,0
Donald Trump,89,male,black,Some college,West Virginia,0
Donald Trump,99,male,chinese,High school graduate,Alaska,0
Donald Trump,75,male,asian,2-year,Maryland,0
Donald Trump,61,male,other,4-year,Vermont,1
Donald Trump,41,male,japanese,4-year,Arkansas,0
Joe Biden,88,male,middle eastern,High school graduate,Oregon,0
Donald Trump,21,male,other,Some college,Florida,0
Donald Trump,29,male,asian,No HS,Utah,0
Joe Biden,93,male,asian,4-year,Oregon,0
Joe Biden,77,male,asian,4-year,Rhode Island,1
Donald Trump,79,male,asian,Some college,Wyoming,0
Joe Biden,53,male,asian,2-year,Missouri,0
Joe Biden,60,female,asian,Some college,Nebraska,0
Donald Trump,59,male,japanese,No HS,Florida,0
Joe Biden,50,female,japanese,Some college,Maine,1
Donald Trump,59,female,other,2-year,Nevada,1
Donald Trump,21,female,other,No HS,Connecticut,1
Donald Trump,51,female,asian,Some college,Vermont,0
Joe Biden,67,male,black,High school graduate,Wisconsin,0
Joe Biden,28,female,black,No HS,North Carolina,0
Donald Trump,81,male,other,No HS,Delaware,0
Joe Biden,80,female,hispanic,2-year,Nevada,0
Joe Biden,36,female,south asian,High school graduate,Kansas,1
Donald Trump,65,male,other,Some college,Ohio,1
Joe Biden,52,male,chinese,High school graduate,Massachusetts,0
Donald Trump,72,female,asian,2-year,Oregon,1
Donald Trump,65,female,pacific islander,Some college,Pennsylvania,0
Donald Trump,93,female,black,Post-grad,California,0
Joe Biden,98,male,black,No HS,Texas,1
Donald Trump,32,male,asian,High school graduate,Pennsylvania,0
Donald Trump,41,female,white,Some college,Colorado,1
Donald Trump,93,female,asian,Some college,Washington,0
Donald Trump,19,male,middle eastern,High school graduate,Illinois,1
Joe Biden,38,female,asian,High school graduate,Wyoming,1
Donald Trump,28,female,asian,Some college,West Virginia,1
Joe Biden,32,male,asian,2-year,Nebraska,1
Joe Biden,96,female,asian,2-year,South Dakota,0
Donald Trump,42,female,chinese,High school graduate,Wisconsin,1
Joe Biden,67,female,black,Some college,Mississippi,1
Donald Trump,95,female,japanese,Post-grad,North Carolina,0
Donald Trump,30,male,asian,2-year,Alabama,0
Joe Biden,64,male,black,2-year,South Carolina,1
Joe Biden,75,male,native american,Post-grad,Maryland,1
Joe Biden,24,female,asian,4-year,Hawaii,1
Joe Biden,20,male,native american,High school graduate,Minnesota,0
Joe Biden,54,female,asian,Post-grad,Kansas,0
Donald Trump,39,female,asian,Post-grad,Maryland,0
Donald Trump,95,male,asian,4-year,Louisiana,1
Joe Biden,50,male,white,2-year,Arizona,0
Joe Biden,83,female,japanese,Some college,Alabama,1
Joe Biden,40,male,asian,4-year,Indiana,1
Donald Trump,49,male,white,Post-grad,Hawaii,0
Joe Biden,39,female,asian,High school graduate,Montana,0
Joe Biden,76,female,chinese,High school graduate,Louisiana,1
Donald Trump,30,male,middle eastern,4-year,Arkansas,0
Joe Biden,66,female,asian,Some college,Washington,1
Joe Biden,21,female,native american,High school graduate,Nebraska,1
Joe Biden,68,male,other,2-year,Oregon,1
Joe Biden,30,male,chinese,High school graduate,West Virginia,1
Joe Biden,46,male,other,No HS,Rhode Island,0
Donald Trump,44,male,black,4-year,Kansas,0
Donald Trump,69,female,japanese,Some college,Mississippi,0
Joe Biden,57,male,native american,2-year,North Dakota,1
Joe Biden,99,male,native american,High school graduate,Iowa,0
Joe Biden,67,female,japanese,High school graduate,Georgia,1
Joe Biden,89,female,pacific islander,2-year,Maryland,0
Joe Biden,74,female,chinese,Some college,Florida,1
Joe Biden,47,female,other,No HS,Kentucky,0
Donald Trump,51,female,hispanic,High school graduate,Georgia,1
Joe Biden,78,female,chinese,Post-grad,Indiana,0
Joe Biden,43,male,other,Post-grad,Idaho,1
Donald Trump,86,male,pacific islander,4-year,Tennessee,0
Donald Trump,70,male,asian,4-year,Texas,1
Donald Trump,20,male,middle eastern,Some college,Maryland,1
Joe Biden,91,female,white,Post-grad,South Dakota,0
Donald Trump,24,female,pacific islander,No HS,Virginia,0
Joe Biden,32,female,pacific islander,4-year,Tennessee,0
Donald Trump,34,male,black,High school graduate,Florida,1
Joe Biden,81,female,native american,Some college,Michigan,0
Donald Trump,90,male,pacific islander,No HS,New Mexico,1
Joe Biden,22,female,south asian,Post-grad,Idaho,1
Donald Trump,79,male,japanese,2-year,Massachusetts,0
Donald Trump,78,female,pacific islander,2-year,Massachusetts,0
Donald Trump,70,male,hispanic,Post-grad,Arizona,0
Joe Biden,41,male,middle eastern,4-year,California,0
Donald Trump,49,male,hispanic,No HS,Nebraska,0
Donald Trump,32,male,native american,Some college,Oregon,0
Joe Biden,18,male,white,No HS,West Virginia,0
Joe Biden,70,male,native american,Some college,California,1
Joe Biden,99,female,other,Some college,Arizona,0
Joe Biden,82,male,other,Some college,Idaho,0
Joe Biden,57,female,middle eastern,Some college,West Virginia,0
Donald Trump,35,female,native american,Post-grad,Missouri,1
Donald Trump,36,female,middle eastern,No HS,Virginia,1
Joe Biden,22,male,white,High school graduate,Hawaii,0
Joe Biden,60,male,asian,No HS,Idaho,0
Joe Biden,19,male,other,High school graduate,Hawaii,1
Joe Biden,56,male,black,No HS,Kentucky,1
Joe Biden,29,female,native american,No HS,Connecticut,0
Joe Biden,82,male,native american,Some college,Pennsylvania,1
Joe Biden,96,female,japanese,Some college,California,0
Joe Biden,91,female,other,Post-grad,Colorado,1
Joe Biden,87,female,chinese,Post-grad,Massachusetts,0
Joe Biden,18,male,other,Some college,Oregon,1
Joe Biden,37,male,black,Some college,Colorado,0
Donald Trump,43,male,japanese,2-year,Texas,0
Donald Trump,97,female,middle eastern,High school graduate,Maryland,0
Joe Biden,47,female,asian,2-year,Wyoming,0
Donald Trump,59,male,south asian,2-year,New York,0
Donald Trump,83,male,white,No HS,Florida,1
Joe Biden,25,male,middle eastern,4-year,Florida,0
Joe Biden,62,male,asian,High school graduate,Washington,0
Joe Biden,23,male,native american,Post-grad,New Hampshire,0
Joe Biden,68,male,asian,High school graduate,Alaska,1
Donald Trump,36,male,japanese,4-year,California,0
Joe Biden,23,male,south asian,4-year,Illinois,1
Donald Trump,89,female,black,Post-grad,Wyoming,1
Joe Biden,43,female,pacific islander,2-year,Kentucky,1
Donald Trump,81,male,hispanic,4-year,West Virginia,0
Donald Trump,28,male,pacific islander,No HS,Wisconsin,1
Joe Biden,35,female,hispanic,Post-grad,Rhode Island,1
Donald Trump,51,female,white,Post-grad,Wisconsin,0
Donald Trump,92,female,asian,No HS,Minnesota,1
Joe Biden,86,female,white,High school graduate,Oregon,0
Donald Trump,54,male,other,High school graduate,Virginia,1
Joe Biden,63,male,hispanic,High school graduate,Oregon,0
Donald Trump,90,female,south asian,Post-grad,Utah,1
Donald Trump,34,female,chinese,Post-grad,Virginia,1
Donald Trump,65,male,chinese,High school graduate,Mississippi,0
Joe Biden,71,female,asian,No HS,Maryland,0
Joe Biden,39,female,other,No HS,Idaho,0
Joe Biden,65,female,black,Post-grad,Arizona,0
Donald Trump,23,female,asian,4-year,Wyoming,0
Donald Trump,25,female,japanese,2-year,New Jersey,1
Donald Trump,58,male,chinese,Some college,Virginia,1
Joe Biden,53,female,japanese,Post-grad,Kentucky,0
Joe Biden,42,male,white,Some college,Iowa,1
Joe Biden,52,female,asian,Some college,Kentucky,1
Joe Biden,31,female,south asian,High school graduate,Arizona,0
Donald Trump,65,male,chinese,High school graduate,Oklahoma,1
Joe Biden,74,female,other,Post-grad,Georgia,1
Donald Trump,94,male,pacific islander,No HS,North Dakota,1
Donald Trump,72,male,chinese,High school graduate,Missouri,1
Joe Biden,25,male,pacific islander,Some college,Montana,1
Donald Trump,72,male,white,Some college,Wisconsin,0
Donald Trump,31,female,middle eastern,Some college,Maryland,0
Joe Biden,34,female,hispanic,Post-grad,New Mexico,1
Joe Biden,85,male,white,Post-grad,Rhode Island,1
Donald Trump,27,female,black,Some college,New York,0
Joe Biden,74,male,asian,Some college,Delaware,1
Donald Trump,88,female,south asian,Some college,Illinois,0
Joe Biden,18,female,japanese,2-year,Maryland,0
Donald Trump,99,male,black,High school graduate,California,0
Joe Biden,33,male,south asian,Post-grad,Colorado,0
Donald Trump,84,female,japanese,No HS,Mississippi,0
Joe Biden,75,male,black,Some college,Hawaii,1
Donald Trump,30,male,middle eastern,No HS,North Dakota,0
Joe Biden,23,female,other,Post-grad,Michigan,1
Donald Trump,32,female,chinese,Some college,Oregon,0
Joe Biden,79,male,chinese,4-year,New Jersey,1
Donald Trump,90,male,pacific islander,4-year,South Carolina,1
Donald Trump,48,female,black,4-year,Ohio,0
Donald Trump,87,male,hispanic,2-year,Ohio,0
Joe Biden,65,male,native american,No HS,Michigan,1
Donald Trump,89,female,pacific islander,No HS,Texas,0
Donald Trump,93,female,south asian,Some college,Wisconsin,1
Joe Biden,49,male,black,No HS,Virginia,1
Donald Trump,29,male,pacific islander,2-year,New Hampshire,1
Joe Biden,98,female,native american,2-year,Kentucky,0
Joe Biden,79,male,japanese,2-year,Louisiana,0
Donald Trump,18,male,white,No HS,Hawaii,1
Donald Trump,71,female,asian,4-year,Maryland,1
Joe Biden,60,female,asian,4-year,Indiana,1
Donald Trump,91,female,chinese,High school graduate,New York,1
Donald Trump,73,female,south asian,No HS,New Mexico,1
Donald Trump,50,female,native american,4-year,Virginia,0
Joe Biden,88,male,japanese,Some college,South Dakota,0
Donald Trump,92,female,native american,4-year,New Jersey,0
Joe Biden,78,male,japanese,No HS,Nevada,1
Joe Biden,93,male,white,No HS,Massachusetts,0
Joe Biden,97,female,pacific islander,2-year,New Jersey,1
Donald Trump,63,male,hispanic,4-year,North Carolina,1
Joe Biden,40,female,other,4-year,North Dakota,0
Donald Trump,29,female,white,4-year,Alaska,0
Joe Biden,33,female,south asian,4-year,New York,1
Joe Biden,85,female,black,Post-grad,Louisiana,0
Donald Trump,93,male,middle eastern,4-year,Michigan,1
Donald Trump,27,male,pacific islander,No HS,Maine,0
Joe Biden,42,male,asian,Post-grad,Arizona,1
Joe Biden,39,male,chinese,2-year,West Virginia,1
Joe Biden,29,female,hispanic,No HS,Rhode Island,0
Joe Biden,48,male,black,2-year,Pennsylvania,0
Donald Trump,80,female,chinese,No HS,Oregon,1
Donald Trump,64,female,asian,No HS,New Hampshire,1
Donald Trump,29,female,middle eastern,Some college,Ohio,0
Donald Trump,40,male,asian,High school graduate,New Jersey,0
Donald Trump,64,female,hispanic,4-year,North Dakota,1
Joe Biden,33,male,black,Post-grad,Indiana,0
Donald Trump,77,female,asian,2-year,South Carolina,0
Donald Trump,36,female,black,4-year,Nebraska,1
Donald Trump,55,female,pacific islander,4-year,Indiana,1
Donald Trump,46,male,other,Post-grad,Minnesota,1
Joe Biden,38,male,other,High school graduate,Oklahoma,1
Donald Trump,74,female,pacific islander,Post-grad,Maryland,1
Joe Biden,79,female,middle eastern,Post-grad,Alaska,0
Donald Trump,41,female,chinese,2-year,Utah,1
Donald Trump,44,male,middle eastern,Post-grad,Oregon,1
Donald Trump,71,male,other,4-year,Montana,1
Joe Biden,81,male,chinese,2-year,Louisiana,1
Donald Trump,91,male,japanese,4-year,New York,1
Donald Trump,80,male,other,Some college,Maine,0
Donald Trump,39,female,asian,Some college,Kentucky,0
Donald Trump,62,female,other,2-year,Massachusetts,0
Donald Trump,74,female,pacific islander,No HS,Utah,1
Donald Trump,93,female,native american,High school graduate,Colorado,0
Donald Trump,19,female,middle eastern,4-year,Colorado,1
Donald Trump,91,male,pacific islander,Post-grad,Georgia,0
Donald Trump,32,male,japanese,Post-grad,Iowa,0
Donald Trump,45,female,japanese,2-year,Mississippi,0
Joe Biden,96,male,black,High school graduate,North Carolina,1
Joe Biden,57,female,native american,Some college,Tennessee,1
Donald Trump,49,male,white,Post-grad,Kentucky,1
Joe Biden,59,female,black,2-year,Nevada,1
Donald Trump,85,male,pacific islander,High school graduate,Ohio,1
Joe Biden,89,male,native american,4-year,Louisiana,0
Donald Trump,27,male,black,2-year,Alabama,1
Joe Biden,58,female,asian,No HS,Kentucky,1
Joe Biden,62,female,asian,4-year,Kansas,0
Donald Trump,92,female,japanese,Some college,Rhode Island,0
Donald Trump,94,male,chinese,4-year,Colorado,1
Joe Biden,55,female,other,2-year,Wisconsin,1
Donald Trump,71,female,black,2-year,New Jersey,0
Joe Biden,75,male,chinese,4-year,Utah,0
Donald Trump,30,female,hispanic,2-year,Michigan,1
Donald Trump,39,female,pacific islander,Post-grad,Montana,1
Joe Biden,18,male,middle eastern,Post-grad,Indiana,1
Joe Biden,32,female,native american,Some college,Alabama,0
Donald Trump,46,female,white,Post-grad,North Carolina,0
Donald Trump,65,female,asian,High school graduate,Alaska,0
Joe Biden,81,female,native american,4-year,Minnesota,0
Donald Trump,58,female,black,Post-grad,Arkansas,1
Donald Trump,93,male,asian,2-year,Pennsylvania,0
Donald Trump,53,male,asian,High school graduate,Delaware,1
Joe Biden,82,female,asian,High school graduate,Tennessee,1
Joe Biden,87,female,chinese,Post-grad,Pennsylvania,0
Joe Biden,62,male,south asian,2-year,Ohio,1
Donald Trump,90,male,middle eastern,Post-grad,Pennsylvania,1
Joe Biden,94,male,other,Some college,Massachusetts,0
Donald Trump,85,female,black,Post-grad,Colorado,0
Joe Biden,88,male,hispanic,2-year,Massachusetts,1
Donald Trump,68,female,japanese,High school graduate,North Carolina,1
Donald Trump,88,male,asian,Some college,Texas,1
Joe Biden,30,male,middle eastern,Post-grad,Texas,1
Donald Trump,69,female,middle eastern,4-year,Hawaii,0
Donald Trump,35,male,middle eastern,Some college,Missouri,1
Joe Biden,99,female,other,No HS,Indiana,0
Donald Trump,49,male,south asian,4-year,Washington,0
Donald Trump,22,female,pacific islander,Some college,Indiana,0
Joe Biden,91,male,middle eastern,High school graduate,Indiana,1
Donald Trump,67,male,pacific islander,2-year,California,0
Donald Trump,41,male,pacific islander,No HS,Idaho,1
Joe Biden,79,male,middle eastern,High school graduate,Nebraska,0
Donald Trump,90,male,chinese,Some college,Alaska,0
Joe Biden,92,male,asian,No HS,Indiana,1
Joe Biden,71,male,asian,High school graduate,South Dakota,0
Joe Biden,66,female,asian,No HS,North Dakota,1
Joe Biden,72,male,pacific islander,Post-grad,Arizona,0
Joe Biden,88,male,black,No HS,Washington,1
Donald Trump,56,female,white,4-year,Georgia,1
Donald Trump,71,female,japanese,4-year,New York,0
Joe Biden,47,male,native american,4-year,Minnesota,1
Donald Trump,77,male,chinese,No HS,New York,0
Joe Biden,66,male,asian,No HS,Maine,1
Joe Biden,78,female,middle eastern,2-year,Washington,1
